년,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계
2001,0,0,0,0,0,0,0,1,0,0,0,0,1
2002,0,0,0,0,0,1,2,1,0,0,0,0,4
2003,0,0,0,0,1,1,0,1,1,0,0,0,4
2004,0,0,0,0,0,1,1,3,0,0,0,0,5
2005,0,0,0,0,0,0,0,1,0,0,0,0,1
2006,0,0,0,0,0,1,0,1,1,0,0,0,3
2007,0,0,0,0,0,0,2,0,1,0,0,0,3
2008,0,0,0,0,0,0,1,0,0,0,0,0,1
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,2,1,0,0,0,3
2011,0,0,0,0,0,1,1,1,0,0,0,0,3
2012,0,0,0,0,0,0,2,2,1,0,0,0,5
2013,0,0,0,0,0,1,0,1,0,1,0,0,3
2014,0,0,0,0,0,0,3,0,0,1,0,0,4
2015,0,0,0,0,0,1,2,1,0,0,0,0,4
2016,0,0,0,0,0,0,0,0,2,0,0,0,2
2017,0,0,0,0,0,0,2,0,1,0,0,0,3
2018,0,0,0,0,0,1,0,2,2,0,0,0,5
2019,0,0,0,0,0,0,1,3,3,0,0,0,7
2020,0,0,0,0,0,0,0,3,1,0,0,0,4
2021,0,0,0,0,0,0,0,2,1,0,0,0,3
2022,0,0,0,0,0,0,3,1,1,0,0,0,5
2023,0,0,0,0,0,0,1,0,0,0,0,0,1
2024,0,0,0,0,0,0,0,0,0,0,0,0,0
